ticket_id,customer_id,created_at,resolved_at,channel,category,subcategory,customer_tier,first_response_time_mins,resolution_time_hours,csat_score,ticket_status,ticket_text
TKT-10001,CUS-000824,2026-08-05 23:08:07,2026-08-06 14:00:55,In-App Chat,Feature Request,Dark Mode,Premium,13,14.88,,Resolved,I like the app and would find a dark mode option useful. I would be happy to use this feature.
TKT-10002,CUS-001471,2026-08-11 07:48:06,2026-08-12 00:00:00,Email,App Bug,App Crash,Premium,16,16.2,3,Resolved,The app closes every time I try to complete this action. I have already tried again several times.
TKT-10003,CUS-000135,2026-08-02 21:38:16,2026-08-04 08:07:40,In-App Chat,Delivery Delay,Tracking Not Updated,Premium,9,34.49,3,Closed,The tracking status has not changed for a while. This has been very frustrating.
TKT-10004,CUS-001039,2026-07-26 20:31:31,,Social Media,App Bug,Login Timeout,Premium,45,,2,Open,I keep getting timed out when I try to sign in.
TKT-10005,CUS-000607,2026-07-31 16:04:19,,In-App Chat,Account Access,Account Locked,Premium,11,,,Open,My account is locked and I cannot get back in. Thank you for checking this for me.
TKT-10006,CUS-000615,2026-05-31 09:57:03,2026-06-01 05:51:39,WhatsApp,Account Access,Account Locked,Premium,15,19.91,5,Closed,My account is locked and I cannot get back in. Could someone advise me on the next step?
TKT-10007,CUS-000755,2026-07-23 23:33:47,2026-07-25 09:32:35,Social Media,Delivery Delay,Late Delivery,Free,67,33.98,3,Resolved,My order is later than the delivery estimate.
TKT-10008,CUS-000994,2026-07-18 20:57:54,,In-App Chat,Billing/Refunds,Payment Failed,Free,19,,,Open,My payment keeps failing even though my details are correct. This is disrupting what I need to do.
TKT-10009,CUS-001034,2026-06-28 15:53:24,2026-06-29 23:52:12,In-App Chat,Billing/Refunds,Incorrect Amount,Free,20,31.98,3,Resolved,The amount on my bill does not match what I expected.
TKT-10010,CUS-000476,2026-06-22 07:05:39,2026-06-23 15:52:27,In-App Chat,Delivery Delay,Late Delivery,Free,13,32.78,3,Resolved,My order is later than the delivery estimate. Please resolve this as soon as possible.
TKT-10011,CUS-000647,2026-06-01 21:39:36,2026-06-02 14:42:36,In-App Chat,Account Access,Password Reset,Free,67,17.05,,Closed,I need help resetting my password.
TKT-10012,CUS-000427,2026-06-29 17:08:49,2026-07-01 23:04:01,In-App Chat,App Bug,App Crash,Free,11,53.92,2,Resolved,The app closes every time I try to complete this action. This is disrupting what I need to do.
TKT-10013,CUS-001062,2026-07-14 19:22:18,2026-07-18 14:15:42,WhatsApp,Billing/Refunds,Duplicate Charge,Free,37,90.89,,Escalated,I was charged twice for the same transaction. I have already tried again several times.
TKT-10014,CUS-000184,2026-07-26 16:35:29,,Email,App Bug,Login Timeout,Free,100,,2,Open,I keep getting timed out when I try to sign in.
TKT-10015,CUS-000703,2026-06-30 17:48:45,2026-07-01 11:19:21,In-App Chat,Delivery Delay,Late Delivery,Free,23,17.51,3,Closed,My order is later than the delivery estimate. I have already tried again several times.
TKT-10016,CUS-001637,2026-07-22 08:37:51,2026-07-23 21:54:03,Email,Billing/Refunds,Duplicate Charge,Premium,16,37.27,,Closed,I was charged twice for the same transaction. I have already tried again several times.
TKT-10017,CUS-001646,2026-07-22 22:23:16,2026-07-25 06:55:04,In-App Chat,App Bug,Notification Error,Free,12,56.53,2,Resolved,The notifications are delayed or showing the wrong information. I have already tried again several times.
TKT-10018,CUS-000855,2026-07-15 01:27:56,2026-07-15 18:27:56,WhatsApp,Feature Request,Export Data,Premium,21,17.0,,Resolved,Could you add a way to export my account data? Thanks for considering the suggestion.
TKT-10019,CUS-000425,2026-07-29 18:07:58,2026-07-30 17:36:10,In-App Chat,Billing/Refunds,Incorrect Amount,Free,14,23.47,,Closed,The amount on my bill does not match what I expected.
TKT-10020,CUS-000973,2026-07-17 00:12:06,2026-07-17 19:34:54,Social Media,Delivery Delay,Tracking Not Updated,Premium,5,19.38,,Closed,The tracking status has not changed for a while.
TKT-10021,CUS-000818,2026-07-04 06:29:47,,Social Media,Billing/Refunds,Payment Failed,Premium,25,,1,Open,My payment keeps failing even though my details are correct. This is disrupting what I need to do.
TKT-10022,CUS-000077,2026-07-21 15:25:33,2026-07-22 00:50:45,In-App Chat,Delivery Delay,Missing Items,Free,13,9.42,4,Resolved,Some items were missing when my order arrived. I have already tried again several times.
TKT-10023,CUS-001646,2026-05-26 16:44:40,2026-05-27 07:46:28,In-App Chat,Delivery Delay,Wrong Delivery Address,Enterprise,6,15.03,,Resolved,The delivery address shown for my order is incorrect. This has been very frustrating.
TKT-10024,CUS-000565,2026-06-13 01:17:18,2026-06-14 07:34:41,Email,Feature Request,New Payment Option,Free,66,30.29,3,Resolved,"It would be helpful to have another payment option. The service has been useful overall, so this would be a great addition."
TKT-10025,CUS-000677,2026-06-19 00:05:11,2026-06-20 12:52:35,WhatsApp,Billing/Refunds,Refund Pending,Free,29,36.79,3,Closed,My refund is still pending and I need an update.
TKT-10026,CUS-000847,2026-06-07 09:18:16,2026-06-08 13:07:28,Email,Account Access,Account Locked,Premium,35,27.82,4,Closed,My account is locked and I cannot get back in. Please let me know what information you need.
TKT-10027,CUS-001481,2026-06-03 22:52:10,,Email,Delivery Delay,Missing Items,Free,37,,,Open,Some items were missing when my order arrived.
TKT-10028,CUS-001348,2026-07-31 02:14:42,2026-08-01 07:14:06,Social Media,Billing/Refunds,Refund Pending,Free,26,28.99,3,Resolved,My refund is still pending and I need an update. This is disrupting what I need to do.
TKT-10029,CUS-000368,2026-06-30 12:33:31,2026-07-01 04:34:43,WhatsApp,Billing/Refunds,Payment Failed,Free,29,16.02,3,Resolved,My payment keeps failing even though my details are correct. This has been very frustrating.
TKT-10030,CUS-001206,2026-05-26 23:19:54,2026-05-27 22:36:42,Email,Billing/Refunds,Payment Failed,Free,37,23.28,3,Resolved,My payment keeps failing even though my details are correct.
