category,subcategory,channel,total_tickets,resolved_tickets,escalation_rate_pct,avg_first_response_mins,avg_resolution_hours,avg_csat_score,survey_response_rate_pct,sla_compliance_rate_pct
App Bug,App Crash,Email,43,34,11.63,69.67,53.66,2.08,60.47,53.49
Billing/Refunds,Payment Failed,In-App Chat,76,57,11.84,20.82,44.19,2.17,61.84,93.42
Delivery Delay,Late Delivery,In-App Chat,46,37,8.70,20.04,29.84,3.03,73.91,97.83
App Bug,Login Timeout,Email,37,27,5.41,70.95,55.07,1.85,72.97,37.84
Account Access,Account Locked,Email,38,32,7.89,76.05,12.72,3.86,73.68,31.58
Delivery Delay,Tracking Not Updated,WhatsApp,23,16,17.39,27.74,26.40,2.95,82.61,100.00
Account Access,Password Reset,WhatsApp,22,19,9.09,37.23,11.36,3.71,77.27,86.36
App Bug,Notification Error,Social Media,21,18,9.52,54.76,44.56,2.00,76.19,71.43
Feature Request,Export Data,Social Media,7,7,0.00,55.00,29.63,4.20,71.43,57.14
Delivery Delay,Tracking Not Updated,In-App Chat,55,47,5.45,20.85,26.29,3.13,72.73,90.91
Account Access,Password Reset,In-App Chat,51,41,3.92,21.33,9.01,3.77,68.63,94.12
Billing/Refunds,Payment Failed,WhatsApp,31,28,0.00,33.97,34.69,2.35,74.19,83.87
Delivery Delay,Wrong Delivery Address,Email,28,22,17.86,70.46,33.10,2.72,64.29,35.71
Delivery Delay,Late Delivery,WhatsApp,13,8,23.08,31.46,44.66,2.29,53.85,76.92
Billing/Refunds,Incorrect Amount,Social Media,16,14,6.25,42.19,45.28,2.38,81.25,75.00
Feature Request,Notification Controls,Social Media,6,6,0.00,23.00,15.45,4.33,50.00,100.00
Account Access,Account Locked,In-App Chat,46,39,6.52,24.43,13.98,3.55,67.39,93.48
App Bug,App Crash,In-App Chat,52,35,13.46,28.06,55.43,2.00,73.08,88.46
Billing/Refunds,Payment Failed,Email,37,27,13.51,83.73,32.80,2.31,70.27,40.54
Account Access,Verification Code Missing,Social Media,11,10,9.09,33.18,13.74,3.75,72.73,90.91
App Bug,Login Timeout,In-App Chat,51,43,5.88,24.75,47.97,2.03,68.63,92.16
Delivery Delay,Late Delivery,Email,30,26,6.67,65.50,23.43,3.06,60.00,53.33
Delivery Delay,Wrong Delivery Address,WhatsApp,20,14,5.00,37.65,30.36,2.69,65.00,80.00
Feature Request,Dark Mode,Social Media,8,6,0.00,27.00,14.14,4.40,62.50,100.00
App Bug,Page Not Loading,Social Media,10,8,10.00,47.30,45.48,3.00,70.00,70.00
Delivery Delay,Missing Items,In-App Chat,45,38,13.33,20.18,28.06,3.00,60.00,97.78
Feature Request,Notification Controls,Email,36,28,5.56,77.17,21.88,4.25,66.67,50.00
App Bug,Page Not Loading,WhatsApp,38,28,18.42,32.03,50.73,1.97,84.21,89.47
Feature Request,New Payment Option,In-App Chat,32,22,21.88,15.66,22.68,4.27,68.75,100.00
Billing/Refunds,Incorrect Amount,Email,58,46,6.90,62.31,37.60,2.23,68.97,41.38
Billing/Refunds,Refund Pending,In-App Chat,59,48,6.78,20.02,36.98,2.36,74.58,88.14
Account Access,Profile Update Failed,In-App Chat,50,43,4.00,21.68,11.81,3.74,68.00,100.00
Feature Request,Dark Mode,WhatsApp,8,6,0.00,50.00,13.87,3.75,50.00,62.50
Account Access,Verification Code Missing,WhatsApp,28,26,0.00,24.68,11.10,3.64,50.00,92.86
Billing/Refunds,Duplicate Charge,In-App Chat,54,45,5.56,18.81,41.50,2.32,70.37,96.30
Delivery Delay,Wrong Delivery Address,Social Media,13,8,15.38,32.54,31.42,3.17,46.15,92.31
Billing/Refunds,Incorrect Amount,In-App Chat,73,64,5.48,19.38,34.76,2.51,67.12,97.26
Billing/Refunds,Duplicate Charge,Email,46,35,13.04,73.76,40.44,2.15,43.48,50.00
Feature Request,Export Data,WhatsApp,16,14,6.25,23.75,19.41,3.92,75.00,100.00
Delivery Delay,Tracking Not Updated,Social Media,11,9,9.09,55.64,34.81,2.80,45.45,54.55
Feature Request,New Payment Option,Email,27,22,11.11,63.56,18.97,3.95,81.48,51.85
Delivery Delay,Missing Items,Email,36,25,16.67,72.00,26.88,3.00,61.11,27.78
App Bug,Notification Error,WhatsApp,25,19,12.00,28.04,43.02,1.89,72.00,88.00
